id,created_at,username,full_text,retweets,likes,lang,text_clean
1.8511E+18,Tue Oct 29 03:23:32 +0000 2024,b_r_i_a_n_j_o,"@DKIJakarta seperti masuk ke Benteng Takeshi setiap lewat JPO @PT_Transjakarta Dukuh Atas. Coba kalau diperbaiki secara proper, tidak seadanya yang tidak sampai 1 bulan rusak lagi https://t.co/u0UJKTpKnJ",0,0,in,@DKIJakarta seperti masuk ke Benteng Takeshi setiap lewat JPO @PT_Transjakarta Dukuh Atas. Coba kalau diperbaiki secara proper tidak seadanya yang tidak sampai 1 bulan rusak lagi https://t.co/u0UJKTpKnJ
1.8511E+18,Tue Oct 29 03:21:09 +0000 2024,GopelCah,@PT_Transjakarta gmn caranya dari senen central ke stip marunda?,0,0,in,@PT_Transjakarta gmn caranya dari senen central ke stip marunda?
1.8511E+18,Tue Oct 29 03:21:01 +0000 2024,PT_Transjakarta,@irawanindraa Hai Kak. Silakan dari Duren Tiga naik koridor 6 turun Kuningan kemudian transit naik rute 6C turun bus stop Mega Kuningan. Untuk informasi rute selengkapnya dapat diakses melalui aplikasi TJ: Transjakarta ya. Trims ^RZK,0,0,in,@irawanindraa Hai Kak. Silakan dari Duren Tiga naik koridor 6 turun Kuningan kemudian transit naik rute 6C turun bus stop Mega Kuningan. Untuk informasi rute selengkapnya dapat diakses melalui aplikasi TJ: Transjakarta ya. Trims ^RZK
1.8511E+18,Tue Oct 29 03:19:45 +0000 2024,Stanzaoth,"@PT_Transjakarta Min, saya ga yakin apakah sudah tap out atau belum di mikrotrans jak 107. Kata ibu2 di dalam mobil udah, tapi seingat saya belum. Jd linglung gegara armada yg kami naiki dicegat dan dimarahi oleh angkot kuning pesing. Kartu saya aman gak Min?",0,0,in,@PT_Transjakarta Min saya ga yakin apakah sudah tap out atau belum di mikrotrans jak 107. Kata ibu2 di dalam mobil udah tapi seingat saya belum. Jd linglung gegara armada yg kami naiki dicegat dan dimarahi oleh angkot kuning pesing. Kartu saya aman gak Min?
1.8511E+18,Tue Oct 29 03:19:23 +0000 2024,PT_Transjakarta,"@jaedarls Hai kak. Mohon maaf atas kendala yang dialami, perihal laporan yang  sama dengan DM sudah kami teruskan ke Tim IT untuk dilakukan pengecekan. Mohon kesediaan menunggu proses selanjutnya. Apabila sudah selsesai akan kami konfirmasi kembali. Terima kasih ^RJ",0,0,in,@jaedarls Hai kak. Mohon maaf atas kendala yang dialami perihal laporan yang  sama dengan DM sudah kami teruskan ke Tim IT untuk dilakukan pengecekan. Mohon kesediaan menunggu proses selanjutnya. Apabila sudah selsesai akan kami konfirmasi kembali. Terima kasih ^RJ
1.8511E+18,Tue Oct 29 03:11:02 +0000 2024,Nanashh15,@PT_Transjakarta Setelah 7c turun di cililitan lalu naik nomr brp?,0,0,in,@PT_Transjakarta Setelah 7c turun di cililitan lalu naik nomr brp?
1.8511E+18,Tue Oct 29 03:10:52 +0000 2024,PT_Transjakarta,"@ametarasuairi Hai kak, silakan naik rute 7C turun di Cawang Sentral kemudian transit naik rute 5C arah Juanda turun di Kp. Melayu dilanjutkan naik rute 5F dari bus stop Flyover Kp. Melayu arah Tanah Abang turun di Lotte Mall Kuningan. Tks ^DPS",0,0,in,@ametarasuairi Hai kak silakan naik rute 7C turun di Cawang Sentral kemudian transit naik rute 5C arah Juanda turun di Kp. Melayu dilanjutkan naik rute 5F dari bus stop Flyover Kp. Melayu arah Tanah Abang turun di Lotte Mall Kuningan. Tks ^DPS
1.8511E+18,Tue Oct 29 03:08:36 +0000 2024,PT_Transjakarta,"@NissaMerlita Hai kak. Mohon maaf atas ketidaknyamanan yang dialami, laporan kendala didalam bus kami lakukan pengecekan dan perbaikan. Terima kasih ^RJ",0,0,in,@NissaMerlita Hai kak. Mohon maaf atas ketidaknyamanan yang dialami laporan kendala didalam bus kami lakukan pengecekan dan perbaikan. Terima kasih ^RJ
1.8511E+18,Tue Oct 29 03:06:01 +0000 2024,vivrexavie,@PT_Transjakarta kak mau nanya kalo 3f apakah bisa naik dr uob plaza atau harus ke halte dukuh atas ya?,0,0,in,@PT_Transjakarta kak mau nanya kalo 3f apakah bisa naik dr uob plaza atau harus ke halte dukuh atas ya?
1.8511E+18,Tue Oct 29 03:04:10 +0000 2024,TahuBulat428149,"@PT_Transjakarta Selamat pagi min tolong d tegur supir mys 23378, emng boleh nyalip satu rute",0,0,in,@PT_Transjakarta Selamat pagi min tolong d tegur supir mys 23378 emng boleh nyalip satu rute
1.8511E+18,Tue Oct 29 03:01:25 +0000 2024,PT_Transjakarta,"@xxysxxn Pagi kak. Hai kak. Kami sangat menyesalkan mendengar perilaku pengemudi kami.  Untuk upaya pengecekan dan mengambil tindakan yang diperlukan, mohon info : Nomor rute, Nomor body armada, Waktu kejadian, Lokasi bus stop, Arah perjalanan. Tks ^DN",0,0,in,@xxysxxn Pagi kak. Hai kak. Kami sangat menyesalkan mendengar perilaku pengemudi kami.  Untuk upaya pengecekan dan mengambil tindakan yang diperlukan mohon info : Nomor rute Nomor body armada Waktu kejadian Lokasi bus stop Arah perjalanan. Tks ^DN
1.8511E+18,Tue Oct 29 02:59:27 +0000 2024,lawakeluh_angum,"@uwiaaf @PT_Transjakarta Banyak sewotnya ini mbak, dikira Pramudi itu robot apa",0,4,in,@uwiaaf @PT_Transjakarta Banyak sewotnya ini mbak dikira Pramudi itu robot apa
